class,X143,X144,X146,X149,X150,X151,X152,X156,X157,X159,X160,X165,X167,X168,X173,X175,X178,X181,X183,X184,X185,X189,X190,X191,X192,X193,X194,X195,X196,X197,X199,X200,X205,X207,X208
N,0.017434812,0.12245239,-0.129360065,-1.088275714,0.673256005,0.193962064,0.281128094,0.315925547,-0.659861802,1.670303263,0.197654634,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.747225734,-0.564446307,1.396879817,1.198995048,-0.951856218,1.007114139,0.07415496,0.554106237,1.016372455,0.867374274,0.568768991,0.476797448,-0.9685496,3.965694963,0.925183672,-0.897248918,5.280815098,1.383869332
N,-0.051650425,0.396628024,-0.005542023,-0.839994135,0.22033389,-0.110060984,0.458832689,-0.009657938,-0.659861802,2.213483166,0.706140301,-0.934024305,-0.731278897,-1.586022889,-0.023056603,3.357862934,1.523530875,-0.913420541,0.168410156,0.583158714,-0.392963596,-0.928092322,1.304564457,0.318145014,-0.121762199,2.298781033,1.008089141,0.662440596,-0.508526775,-1.08018201,-0.642263856,-3.607659764,-0.897248918,5.524859732,1.5645267
N,-0.32944132,0.830739445,0.436665268,-1.129655977,0.046762447,-0.215977296,0.738082766,-0.986408392,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.858022272,-0.115597733,0.483228053,1.384784272,-0.913239887,-1.076169847,-0.62975523,-0.375212862,0.002374975,0.023085076,-1.710573419,-4.449823668,-0.9685496,3.794395379,0.756676481,-0.792616927,-0.12009117,0.614402764
N,-0.06872003,0.396628024,0.189029185,-0.384811239,0.111708811,0.26040971,-0.683553991,0.343057504,-0.072807051,-0.282840874,0.363465178,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.304039585,0.107905233,0.140608641,-0.790042526,-0.351817855,-0.637085556,0.564785451,0.131688465,-0.579182403,-0.680489256,0.287754173,-0.015864663,-0.187122734,-0.423383566,0.798803279,-0.269456972,0.025220339,0.212941946
N,0.123223848,-3.350438975,0.118276018,-0.302050712,-0.111731072,0.11286954,-0.226599319,0.071737933,-0.366334426,-0.276431966,0.512694667,-0.008058881,-0.449569876,0.2106167,-0.472074179,-0.306394973,-0.659754577,-0.248641316,-0.292991492,0.440400626,0.204476261,-0.209234482,-0.128866077,0.431255166,-0.459696416,-0.295859578,-0.11762979,0.412649648,-0.015864663,-0.075490324,-0.166706074,0.158475953,-0.06019299,-0.210380291,0.212941946
Y,-0.089049114,0.14530036,0.153652601,0.525554553,0.375593643,-0.080832832,0.433446318,0.451585333,0.514247699,-0.433260166,0.413208341,-0.471041593,1.774023544,0.80219315,-0.472074179,-0.306394973,-0.659754577,0.637730984,-0.143092878,-0.530354374,0.16076115,0.503682384,-0.189874453,0.569104116,0.216172019,-0.594094131,-0.11762979,0.412649648,0.476797448,0.705936543,-0.111788012,-0.119560912,0.358334973,-0.171023578,0.032284578
N,-0.040857956,0.465171933,-0.005542023,-0.633092818,0.63750352,0.355286537,-1.165895033,0.261661633,0.220720324,-0.449675026,0.639816083,-0.008058881,-0.595841868,0.933654584,0.874978549,-0.306394973,1.502230529,-0.691827466,0.404560671,-0.516078565,-1.718988646,-0.987502061,0.923208124,-1.973010878,0.8075569,2.134752029,0.023085076,-1.710573419,-0.015864663,-0.633652372,-0.440017268,1.017862627,-0.792616927,-0.107308531,0.079121673
N,-0.074486483,-0.151723244,0.153652601,0.525554553,-0.335055766,-0.212245221,0.078037129,-0.226713594,0.514247699,-0.359027151,0.457424486,-0.008058881,-0.60667683,0.736462434,-0.472074179,-0.306394973,-0.659754577,0.748527521,0.1809413,-0.787318932,-0.043242704,0.515564332,0.105975415,0.539019897,-0.882114189,-0.459888582,0.234157376,0.662440596,0.476797448,0.594304133,-0.1235983,-0.296493462,2.137078819,-0.280731628,-0.027934545
N,-0.514112791,1.99598589,0.206717476,-1.336557294,-11.20206965,-1.343498453,-6.293941905,-10.37406554,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.858022272,0.113563304,-0.016425256,1.031420454,-1.052852774,-2.526139869,1.752248723,0.469622683,-2.368589721,-3.283714284,0.381425779,0.476797448,-1.08018201,-0.642263856,-3.607659764,-1.001880909,-0.720875165,-3.058963723
N,-0.164883458,-0.654378573,0.118276018,1.477300609,-0.17311534,0.129970013,-0.25198569,0.451585333,1.394829824,-0.279461627,0.087114272,-0.008058881,-0.709608972,1.196577451,-0.472074179,-0.306394973,-0.659754577,2.078085971,0.036609455,-0.287665624,-0.742684489,2.992950443,-0.843223194,0.486054725,-1.051081298,-0.713387952,-0.961918989,0.287754173,0.476797448,0.705936543,-0.192832605,0.200602751,0.358334973,-0.288836103,0.012211537
N,-0.181013154,1.013523201,0.330535518,-1.295177031,-1.594276649,8.182912799,0.661923654,-2.939909301,-0.659861802,1.699823909,0.225289725,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-1.135013615,6.992489856,2.596047758,0.976776565,-0.797390897,-1.680478818,0.243717512,0.385139128,-0.847593501,-1.595135887,-1.46078247,0.476797448,-0.9685496,4.077039693,1.034713346,-0.897248918,5.597169253,1.618054809
N,0.214367099,-0.517290756,0.436665268,-0.633092818,0.660192597,-0.004100287,0.408059947,0.261661633,-0.953389177,-0.61459481,-1.941301378,1.380889255,-0.508898058,0.561180523,-0.472074179,-0.306394973,-0.659754577,-0.858022272,0.5598608,-0.259114006,-1.190764382,-0.64886655,-0.387782669,-0.277427363,0.638589791,0.509373715,0.304514809,-1.46078247,0.476797448,-0.9685496,4.22264434,1.177944459,-1.001880909,-0.720875165,-3.058963723
N,-0.090452972,0.556563811,-0.093983482,0.401413764,0.423627042,-0.024121621,0.255741723,0.370189461,0.220720324,-0.492116732,0.733775391,0.454923831,-0.432940089,0.415112263,2.222031277,-0.281756773,1.523530875,-0.968818809,-0.263293687,0.540331288,-0.706255229,-0.271614708,0.763641305,0.413698812,-0.544179971,0.419903349,0.867374274,0.537545122,-0.015864663,-0.075490324,-0.351986727,0.554467852,-0.583352945,0.001202479,0.192868905
N,-0.214404109,0.60225975,0.082899435,-1.088275714,0.299230001,-0.329609506,1.448901144,-0.091053809,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.858022272,0.399670078,-0.316217241,0.648913228,-0.886505505,-0.178358484,-0.608753316,0.976524009,0.419903349,0.163799942,-1.585677944,-0.015864663,-0.856917191,-0.006346593,0.470214257,-1.001880909,-0.720875165,-3.058963723
N,-0.101986773,0.053908482,0.047522851,1.311779556,0.071855794,-0.013531233,0.027264388,0.424453375,2.27541195,-0.366581762,0.225289725,0.917906543,-0.459440437,0.437022502,-0.472074179,-0.306394973,-0.659754577,1.967289433,-0.109130285,-0.673112462,0.08790263,2.027542186,-0.418633706,1.063357671,-0.121762199,-0.802858318,0.585944542,0.537545122,0.476797448,1.822260638,-0.304729772,0.015244841,0.986126919,-0.201097052,0.172795864
N,-0.098996989,0.396628024,-0.023230315,0.194512447,-0.056157884,0.20968854,-0.708940361,0.343057504,0.220720324,-0.502740511,0.512694667,-0.471041593,1.850638297,0.87522728,0.425960973,-0.268477584,1.486255269,-0.137844778,0.062792435,-1.015731874,1.020491676,-0.369640777,1.725302088,-0.98454937,0.469622683,1.55319465,0.937731707,0.662440596,0.476797448,-0.856917191,-0.545362178,1.14424302,-0.478720954,-0.518561899,0.882043309
Y,-0.084796023,-1.956712835,0.047522851,1.808342715,0.259089874,0.064858039,-0.27737206,0.451585333,2.8624667,-0.330918403,0.175546562,1.380889255,-0.589862921,0.736462434,-0.472074179,-0.306394973,-0.659754577,1.911891165,-0.157671112,-0.972904447,0.353836225,1.834460535,-0.381423807,0.429276098,-0.459696416,-0.713387952,-0.258344657,0.412649648,0.476797448,1.710628229,-0.293335811,-0.14483699,3.183398728,-0.174478912,0.112576741
N,-0.063834005,-1.819625018,-0.023230315,1.187638766,0.177939805,-0.089624644,-0.429690284,0.451585333,0.807775074,-0.315664671,0.291613942,0.454923831,-0.654536558,0.385898611,1.323996125,-0.289281511,1.507555615,0.970120596,-0.059654325,-1.372627094,0.670770784,1.335418728,0.951517436,-0.219782675,0.216172019,0.181315707,0.726659408,0.537545122,0.476797448,0.259406905,-0.237963763,0.04052092,2.032446828,-0.230366897,0.299925123
Y,-0.194028232,0.373780055,0.436665268,-0.550332292,-0.038500718,-0.245922414,-0.302758431,0.180265762,-0.659861802,2.455552471,0.932748044,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.747225734,0.283534597,-0.616009227,1.322854531,-0.589456811,0.345588759,1.088587682,0.300655574,-0.489712037,1.289518873,0.787336071,0.476797448,-0.9685496,3.991389901,0.950459751,-0.792616927,-0.247917552,0.540801614
N,-0.142010181,0.442323963,-0.270866398,-0.839994135,0.123905311,-0.397127886,0.814241878,-0.17244968,-0.366334426,-0.309830765,0.352411141,0.917906543,-0.416792676,0.539270284,-0.472074179,-0.306394973,-0.659754577,-0.747225734,0.050526366,0.3975732,0.423051819,-0.824125279,-1.092868463,0.81263952,0.8075569,-1.190563237,-1.946923053,0.537545122,0.476797448,-0.745284781,-0.468413766,1.102116223,-0.687984936,-0.43163708,0.567565668
N,-0.283668929,0.876435384,-0.005542023,-1.336557294,-11.20206965,-1.343498453,-6.293941905,-10.37406554,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-1.024217078,0.763108023,0.083505406,-0.4075353,-0.957797192,-1.391962732,0.382652094,0.385139128,-0.623917586,-0.258344657,-1.710573419,0.476797448,0.036142086,-0.490844218,0.883056874,-0.687984936,-0.058065278,0.253088028
N,-0.124127696,0.510867872,-0.023230315,-0.302050712,-0.347367455,-0.27611374,0.636537283,0.261661633,-0.072807051,-0.371710858,0.346884123,-0.471041593,1.682085839,0.714552195,-0.472074179,-0.306394973,-0.659754577,0.582332715,0.319691126,-0.616009227,-1.274551679,-0.0458577,-0.795583664,-0.609365498,0.300655574,0.121668796,0.023085076,-1.710573419,0.476797448,-0.522019962,-0.544871343,0.78195256,0.044439,-0.187729491,0.112576741
N,-1.016289561,2.93275264,0.843495976,-1.129655977,-0.68960125,-0.059813201,0.001878017,-1.149200135,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-1.135013615,8.235813482,3.581078567,1.98222413,-1.234052477,-0.620933567,-0.835392145,1.483425336,-1.011622505,0.023085076,-1.710573419,-0.508526775,-1.08018201,-0.642263856,-3.607659764,-1.001880909,-0.720875165,-3.058963723
N,-0.048779184,0.076756451,-0.040918607,-0.053769132,0.031152894,0.073240734,-0.048894724,0.451585333,-0.366334426,-0.518573261,0.628762047,-0.471041593,1.436918628,0.48084298,-0.472074179,-0.306394973,-0.659754577,0.471536178,-0.214942429,-0.45897533,0.095188482,0.215545151,0.046544713,0.570050132,-0.797630634,-0.236212667,0.445229675,0.412649648,-0.015864663,0.482671724,-0.11624566,-0.498702091,-0.478720954,-0.225681964,0.647857832
N,-0.153030911,0.350932085,0.224405768,0.318653237,-0.114536267,-0.125432188,-0.125053836,-0.063921852,1.101302449,-0.241669739,-0.023426091,0.917906543,-0.215113944,0.217920113,-0.472074179,-0.306394973,-0.659754577,1.856492896,-0.22508055,-0.244838197,0.31376404,1.397798954,-0.924714327,-1.52859887,-1.726949733,0.121668796,-2.228352786,-1.46078247,0.476797448,0.259406905,-0.17823685,0.209028111,0.044439,-0.094740423,0.306616137
Y,-0.110241057,0.350932085,0.02983456,0.070371657,-0.667118436,-0.123503774,-0.683553991,-0.877880564,-0.366334426,-0.063514619,0.214235688,-0.008058881,-0.574171943,0.473539567,-0.472074179,-0.306394973,-0.659754577,0.305341372,-0.793192902,1.468258861,0.393908411,0.857170331,-0.403149953,0.727944975,0.216172019,-0.653741042,-0.11762979,0.537545122,0.476797448,-0.187122734,-0.307839686,0.512341054,0.672230946,-0.086364106,-0.041316572
N,-0.148094586,0.533715841,0.153652601,-1.129655977,-0.156614193,-0.374664182,0.788855507,-0.959276435,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-1.135013615,7.767314724,3.209907537,1.60335983,-1.023147904,1.934979061,-3.419581741,0.385139128,3.5215427,0.163799942,-1.710573419,-1.001188887,-0.856917191,-0.527193114,1.14424302,-0.897248918,5.109079985,1.256740073
N,-0.053529419,0.190996299,0.259782351,2.222145348,-0.461597606,-0.043847917,0.230355353,0.397321418,-0.366334426,-0.401677463,0.656397138,3.695802814,-0.465293383,0.363988373,-0.472074179,-0.306394973,-0.659754577,6.565345738,0.142479132,-0.630285035,-1.270908753,4.751478713,-0.896714845,-0.552122179,-0.628663525,-0.116918846,0.023085076,-1.710573419,0.476797448,2.715319915,-0.174814042,-0.262792024,0.672230946,-0.160987161,0.253088028
Y,-0.128050079,-0.494442787,0.189029185,1.394540082,0.260977341,-0.038053411,-0.125053836,0.397321418,1.394829824,-0.423111661,0.496113612,-0.008058881,-0.270792997,0.334774721,3.12006643,-0.277043721,1.502230529,2.299679046,0.074291233,-0.787318932,-0.502251375,1.709700083,1.734949161,-0.667221787,-0.037278644,1.314607008,1.43023374,0.662440596,0.476797448,3.161849553,-0.186555462,-0.363896338,8.414998273,-0.166326595,0.01890255
N,-0.058467606,0.373780055,0.012146268,0.442794027,0.493310355,-0.112293347,0.636537283,0.261661633,-0.366334426,-0.418376863,0.67850521,0.917906543,-0.573721133,0.473539567,2.222031277,-0.306394973,1.502230529,-0.802624003,-0.0925948,0.497503861,-0.06510026,-0.292408116,1.100282094,0.049592803,0.554106237,0.673402719,1.008089141,0.537545122,-1.001188887,-0.298755143,-0.247446671,0.268005628,-0.792616927,0.276170615,0.286543096
N,-0.034201841,0.328084116,-0.023230315,0.773836133,-0.490762425,-0.184534785,-1.343599628,0.315925547,-0.953389177,-0.61459481,-1.941301378,0.454923831,-0.105471881,-0.366352924,-0.023056603,3.322114076,1.502230529,0.914722328,-0.193414651,-0.259114006,-0.112458297,0.512593845,-0.654007729,0.600434146,0.385139128,-0.951975595,-0.399059523,0.287754173,-0.015864663,1.152466181,-0.18914595,-0.279642743,1.09075891,-0.115314877,0.172795864
N,-0.076766519,0.14530036,0.259782351,0.691075607,-0.278268059,0.356298426,-1.216667774,0.234529676,1.394829824,-0.445850583,0.418735359,1.380889255,-0.608982934,0.75106926,-0.472074179,-0.306394973,-0.659754577,1.524103284,-0.156329896,-0.073528491,0.117046038,0.70270501,0.400164884,-0.050455142,-0.544179971,0.181315707,0.445229675,0.537545122,0.476797448,1.598995819,-0.03870172,-0.658783923,0.776862937,-0.060911959,-0.021243532
Y,-0.101235445,0.419475994,-0.023230315,-0.343430975,-0.530640197,-0.506824808,0.306514465,-1.013540349,-0.953389177,-0.61459481,-1.941301378,-0.008058881,-0.65543416,0.590394174,-0.472074179,-0.306394973,-0.659754577,-0.248641316,-0.339215891,-0.059252683,0.364765003,-0.146854256,-0.200615908,0.445170128,-0.628663525,-0.802858318,0.163799942,0.287754173,0.476797448,0.259406905,-0.216506637,-0.069008754,-0.792616927,-0.656961974,0.647857832
N,-0.019315553,0.213844268,-0.023230315,3.422172983,0.130308473,-0.033394618,-0.150440207,0.451585333,1.981884575,-0.357450563,0.407681322,5.547733662,-0.357603,-0.125340296,3.12006643,-0.289846468,1.512880702,2.632068658,-0.214393951,-0.516078565,-0.014099297,1.807726152,1.422755046,0.091456958,-0.628663525,0.47955026,1.711663473,0.912231545,0.476797448,3.608379191,-0.185661054,-0.3301949,1.613918864,-0.133592112,0.119267755
N,0.004008365,0.236692238,-0.235489815,-0.260670449,0.47455469,-0.017969345,0.179582612,0.343057504,-0.072807051,-0.566267428,0.794572591,-0.008058881,-0.541667056,0.619607826,0.425960973,-0.116808026,1.475605096,-0.968818809,0.303185599,-0.144907535,-0.247246558,-0.72609921,0.999703817,-0.402482288,0.469622683,0.777784813,0.585944542,0.318978042,-1.98651311,-0.522019962,-0.088698442,-0.15326235,-0.269456972,-0.188413783,0.366835259
N,0.049886372,0.57941178,0.047522851,-0.633092818,0.975777039,0.266737183,0.357287206,0.451585333,-0.366334426,-0.343229564,0.429789395,-0.934024305,-0.731278897,-1.586022889,-0.023056603,3.393611791,1.544831221,-0.747225734,0.030604614,-0.244838197,0.648913228,-0.993443035,1.819510943,-0.60375523,-0.121762199,2.030369935,1.148804007,0.787336071,-1.001188887,0.036142086,-0.321151374,0.343833863,-0.687984936,-0.142610878,0.647857832
Y,-0.152920115,0.305236146,0.224405768,-0.012388869,-0.54232851,-0.131067344,-1.191281404,0.234529676,0.220720324,-0.442301092,0.59007292,-0.008058881,-0.324967809,0.743765847,-0.472074179,-0.306394973,-0.659754577,0.748527521,-0.264972006,0.02640217,0.678056636,0.717557444,0.119700078,0.228016405,0.04720491,-0.28094785,0.585944542,0.287754173,0.476797448,1.48736341,-0.0458883,-0.919970068,2.137078819,-0.166542034,-0.027934545
N,-0.171727062,0.830739445,0.365912101,-0.964134924,0.735593673,-0.404102996,1.474287515,-0.036789895,-0.953389177,-0.61459481,-1.941301378,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.858022272,0.101339805,0.925778126,-0.447607486,-0.360729316,0.21006119,-1.159232283,-1.980400396,0.867255178,0.023085076,-1.585677944,0.476797448,-0.9685496,4.085604672,1.043138706,-0.478720954,-0.117899003,0.273161068
N,-0.197406279,0.625107719,-0.129360065,0.028991394,0.68813204,0.081174349,0.560378171,0.397321418,1.394829824,-0.502574609,0.672978192,0.917906543,-0.388055347,0.546573697,1.323996125,-0.266761005,1.534181048,-0.747225734,-0.328548643,0.583158714,0.987705343,-0.723128723,0.41242125,-0.369314763,1.145491118,0.062021885,0.023085076,0.162858699,-1.001188887,-0.9685496,4.32542409,1.279048773,-0.792616927,-0.605831421,0.795060132
N,-0.172991741,0.647955689,-0.129360065,-0.964134924,0.147281936,0.122434497,0.560378171,0.153133805,-0.366334426,-0.485174462,0.65087012,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.691827466,-0.164718076,0.454676435,1.676218349,-0.372611264,-0.334643151,-0.038305827,-0.375212862,-0.415153399,-1.102633855,0.412649648,0.476797448,-0.856917191,-0.194093595,0.461788897,-0.06019299,-0.227097792,0.427054382
N,-0.099887115,0.510867872,-0.164736648,-0.426191502,0.914460276,0.192963116,0.433446318,0.343057504,-0.072807051,-0.395716913,0.363465178,-0.008058881,-0.119103524,0.458932741,1.323996125,-0.270646116,1.534181048,-0.802624003,0.411499452,-0.159183344,-0.079671964,-0.40528662,0.812884311,-0.09713786,-0.375212862,0.2856978,0.585944542,0.412649648,-0.508526775,-0.633652372,-0.002030466,0.03209556,-0.687984936,-0.604302924,1.102846759
Y,-0.021513623,-0.425898878,0.047522851,-0.343430975,0.31676247,0.234054727,-1.089735921,0.343057504,0.807775074,-0.384955293,0.313722014,-0.008058881,-0.346637733,0.334774721,-0.472074179,-0.306394973,-0.659754577,-0.414836122,0.204838913,-0.159183344,-1.14704927,-0.161706691,-0.475691259,1.367558142,-0.290729307,-1.056357688,0.163799942,0.662440596,0.476797448,-0.075490324,-0.132807562,-0.288068102,-0.478720954,-0.229907028,0.580947696
